farmid,ly,lland,llabor,lfeed,lcattle,comp,_cons
1,13.399908,5.9135032,8.1167154,11.813288,3.7381456,5.530173230636033,1.0
2,12.754598,5.749393,8.3770113,11.239344,3.1851122,8.719506196538735,1.0
3,13.294759,5.5683446,8.6399412,12.470854,3.4563167,7.31078132533138,1.0
4,12.933064,5.5174527,8.5137873,11.94743,3.2737427,9.752371923657009,1.0
5,12.886527,5.521461,8.2453842,11.719795,3.2331731,5.542455969126284,1.0
6,12.324403,5.220356,8.0391569,10.766078,2.7040422,5.41517105172579,1.0
7,12.649474,5.5333896,8.507143,11.730061,3.2108436,5.438189324595115,1.0
8,12.931967,5.4638319,8.2414398,11.818336,3.2492111,7.017874519308741,1.0
9,12.766776,5.5759492,7.9979992,11.524196,2.9922261,5.51656740308377,1.0
10,12.015332,5.209486,7.6857033,11.706073,2.9301264,5.264486128968024,1.0
11,12.680833,5.2040067,8.3072128,11.876149,3.0629234,6.589094992659261,1.0
12,12.787335,5.2626901,7.8887095,11.812104,3.0150447,5.951531392669015,1.0
13,12.466434,5.1357985,8.4006596,11.140209,2.8088002,6.536196472327763,1.0
14,12.369039,5.2470241,8.1820002,11.305101,2.9069011,11.85783064768503,1.0
15,12.720016,5.5872488,7.8842001,11.673467,2.8859174,6.058924830111684,1.0
16,13.01148,5.768321,8.225503,12.005334,3.4610374,5.692174862797612,1.0
17,12.987742,5.7137327,8.043663,12.110678,3.4666729,8.673797305293105,1.0
18,13.113336,5.7745514,8.1435175,11.884749,3.3998632,5.422545841115645,1.0
19,12.899899,5.32301,8.2361555,12.170778,3.2872818,5.673554445764514,1.0
20,12.12214,4.8040209,7.6033993,11.025459,2.4664032,6.820606802704029,1.0
21,13.447002,5.7430034,8.3282099,12.449031,3.6312504,6.681174319099512,1.0
22,13.323874,5.7397928,8.2710371,12.437518,3.6663783,7.690239414966298,1.0
23,12.432253,5.0039463,7.8272409,11.314157,2.9528248,7.828374777943649,1.0
24,12.365468,5.4293456,8.0928507,11.800696,2.766319,5.124370774061162,1.0
25,12.667958,4.6347289,8.4510536,11.964457,2.946542,8.008947152931057,1.0
26,12.282228,4.7095304,7.9409399,11.665256,2.7120423,6.682879059409105,1.0
27,12.245166,5.3033047,7.8674884,11.398692,2.9851768,4.934924422596403,1.0
28,12.362041,4.7874918,7.9895606,11.045311,2.6532419,6.485443978249299,1.0
29,11.898289,4.2484951,7.8264432,11.145182,2.1644719,6.905086666921077,1.0
30,12.426455,5.2781148,8.1104269,11.4215,2.904165,12.01264053571668,1.0
31,12.464996,5.0814042,8.441823,11.171895,2.7265449,7.063417799680952,1.0
32,13.08533,5.8289456,8.3428402,12.291197,3.3714252,9.001588004326829,1.0
33,12.32509,4.4426513,8.0724678,10.75427,2.6326079,6.577516286963231,1.0
34,12.487415,5.2781148,8.1867428,11.676608,2.839663,9.1378087084404,1.0
35,12.512529,5.3936276,8.3012733,10.928432,2.7536607,5.33581398642327,1.0
36,12.120147,4.7874918,8.093462,11.534849,2.7127061,4.903070574590962,1.0
37,11.717625,4.5538769,7.7740149,10.463291,2.3813963,6.328291458966094,1.0
38,12.903731,5.7525725,7.9330797,11.849302,3.3325615,5.997450951092025,1.0
39,12.180574,5.1817837,8.154788,11.160959,2.4527278,6.050889958249522,1.0
40,12.481194,5.2983174,8.2043982,11.450166,2.8842418,8.699377181096686,1.0
41,13.211012,5.220356,8.1040993,12.134658,3.4934726,6.764015033360582,1.0
42,12.449099,4.9767337,7.7358704,11.032587,2.796061,6.72380243773632,1.0
43,12.992297,5.3423343,8.4894104,11.733356,3.0887671,6.55277114750886,1.0
44,12.605131,4.9052749,8.1256313,11.40978,2.8791986,6.380675204473905,1.0
45,12.243661,5.3659759,7.9710855,11.527811,2.9806187,5.87521907095671,1.0
46,12.672194,5.4116459,8.0746489,11.568994,3.0717669,6.889998284366376,1.0
47,12.527283,5.0039463,8.1426449,11.659369,2.8808825,8.877779813183485,1.0
48,12.245436,4.6151204,7.8359747,11.280653,2.6041701,7.058031181403875,1.0
49,12.059679,5.1704841,8.237215,11.273028,2.4849067,5.320285750122704,1.0
50,12.12069,4.7449322,7.7323694,10.741915,2.5352829,5.248662260386866,1.0
51,11.893421,5.1179938,8.241703,10.656465,2.5595503,5.892146227505386,1.0
52,12.175583,4.7004805,8.0551577,10.968527,2.5494452,7.653116039165178,1.0
53,11.411242,4.3174882,7.6182513,10.532729,2.1517622,5.071509858245409,1.0
54,12.420314,5.1590552,8.0356026,11.184279,2.7311156,6.001683125198024,1.0
55,12.154548,4.8040209,7.8228455,11.442132,2.4587338,7.187730573404771,1.0
56,12.685404,5.2522736,8.3064718,11.439373,3.0066721,6.132238215334429,1.0
57,12.901804,5.32301,7.5326238,11.851447,3.1214836,5.571196587164879,1.0
58,12.900591,5.4595857,8.2453842,11.708015,2.9745085,4.810462863107944,1.0
59,12.909784,5.4510384,8.5709238,12.162915,3.2910104,5.724399093598278,1.0
60,12.761383,5.2933049,8.0291071,11.680472,3.0864866,7.175622943826616,1.0
61,12.650866,4.934474,8.1900768,11.878491,3.1170645,6.150951423485418,1.0
62,12.760276,4.8598123,8.1047039,11.780713,2.78192,5.980636308768878,1.0
63,12.822742,5.7004437,8.0264969,12.092413,3.1201599,7.156007169344488,1.0
64,12.168171,4.7273879,8.2947998,11.187651,2.3321438,7.111530897391934,1.0
65,12.404545,4.8675346,7.59589,11.707561,2.7593768,6.562240995795433,1.0
66,12.868338,5.1929569,7.9487386,11.65035,3.0837431,6.318928672452087,1.0
67,12.509321,5.0434251,7.7363071,11.745108,3.0661907,5.219388255993776,1.0
68,11.913711,4.5747108,7.3092122,11.089321,2.0320878,5.780169247127199,1.0
69,11.880597,4.2195077,7.7844734,11.394049,2.207175,8.318071084181156,1.0
70,12.698972,5.3706379,7.9251575,11.502952,2.8729994,4.803254035992502,1.0
71,12.778829,5.2626901,8.0665216,11.929069,3.1713648,8.554467315694094,1.0
72,12.438487,4.7535901,7.9487386,11.576895,2.7868614,6.469596830463489,1.0
73,12.297492,4.9272537,7.5590382,11.60528,2.4630017,5.803522636806072,1.0
74,11.595985,3.6888795,7.5755849,10.372119,1.6752256,5.31317862873496,1.0
75,11.888256,4.7361984,7.6820216,11.025068,2.2690284,9.670395586821204,1.0
76,12.100733,4.5643482,7.5448608,11.119622,2.4940317,5.970534797443396,1.0
77,12.420494,5.09375,8.0063677,11.969513,2.9359822,5.935226693616201,1.0
78,12.639851,4.8520303,8.154788,12.090816,3.0478501,6.351916452123197,1.0
79,12.208602,4.5849676,7.7659931,11.430131,2.6651428,8.632783574772867,1.0
80,12.344582,4.1743875,8.2228222,11.162294,2.5022552,5.261698809932528,1.0
81,12.745492,5.4971681,8.24722,11.642184,3.3679852,4.996805482853818,1.0
82,13.07145,5.2311087,8.0762043,12.416474,3.4803166,6.604264327101863,1.0
83,12.796825,5.1239638,7.7989335,12.123579,3.1838703,7.599192273818339,1.0
84,13.35127,5.7990928,8.2168989,12.216507,3.5633163,5.163639882330621,1.0
85,13.114629,5.2149358,8.1022835,12.28408,3.2782762,6.372122127373721,1.0
86,12.200244,4.4485164,7.9010072,11.125251,2.3933394,6.897845852806245,1.0
87,12.771444,5.0434251,8.1185055,12.246433,3.2657595,6.235092861536252,1.0
88,12.626744,4.7957907,8.1934004,11.586268,2.9642415,5.332991948842762,1.0
89,12.133142,4.7535901,7.7257714,11.221053,2.266958,6.690164051150458,1.0
90,11.948657,4.6728287,7.9218984,11.213367,2.1758873,5.587627923398141,1.0
91,11.508185,4.4067192,7.6058898,10.778052,1.9586854,12.33236421025853,1.0
92,12.147366,4.5432949,7.9287663,11.451664,2.6748381,6.132979159237943,1.0
93,12.480494,4.8903489,7.8972964,11.575377,2.6518326,6.570748616767931,1.0
94,12.535005,5.529429,7.8567066,11.696009,2.9204698,8.055298272879739,1.0
95,12.584541,4.8283138,8.5177927,11.727563,2.6063867,5.320213116485119,1.0
96,11.748419,4.5325994,8.111928,10.718193,1.9501867,8.852962646200682,1.0
97,12.296657,4.6728287,7.4524026,11.312819,2.6706944,5.653033558788144,1.0
98,11.7267,4.2195077,7.7297354,10.786288,2.0188951,7.900361838988799,1.0
99,13.034129,5.187386,8.2414398,12.03848,3.2924979,6.54655792401284,1.0
100,12.956533,5.3132062,7.9707403,12.12224,3.3477967,8.493491969522587,1.0
101,11.86906,4.1271343,7.63868,10.761486,2.0294631,5.252270802776311,1.0
102,12.710677,5.187386,7.8296304,12.062806,3.1350594,5.912118032530833,1.0
103,12.038904,4.9767337,7.818028,11.349882,2.6071243,4.228536916157237,1.0
104,12.535462,4.4426513,7.8987823,11.937431,2.7874773,7.321482260656429,1.0
105,12.909609,4.8202815,8.1986399,11.987425,3.2055879,4.584446625792417,1.0
106,12.764824,4.9416423,8.0665216,11.418294,2.8713021,5.599156478076249,1.0
107,12.558383,4.9767337,8.0940733,11.496511,2.9585495,7.919675790144661,1.0
108,12.041901,4.5849676,7.700748,11.153976,2.4680996,6.801706291036336,1.0
109,12.611849,4.94876,8.2758856,11.329631,3.0339911,5.329842760666586,1.0
110,12.88468,5.2781148,8.1539249,11.847542,3.1501687,7.399366021289389,1.0
111,12.287611,4.5849676,7.9083872,11.333097,2.5063419,6.886056368645914,1.0
112,12.845492,5.2626901,8.4233217,11.852808,3.1838703,5.855835695762963,1.0
113,12.822967,5.220356,8.2774124,12.233733,3.1236856,8.745664349371966,1.0
114,12.723942,4.94876,7.8998952,11.952822,3.0330281,7.177689343615592,1.0
115,12.059104,5.0172796,7.7432699,11.123573,2.5502262,10.53402946420645,1.0
116,13.086946,5.6204009,8.0169773,11.930788,3.4031954,5.367819444075246,1.0
117,12.712639,4.8751974,8.2160883,11.758936,3.2627013,10.47385572761582,1.0
118,13.006555,5.2882671,8.2060375,12.042876,3.3141861,7.136029985053865,1.0
119,12.206529,4.7706847,7.9416513,11.214704,2.6232183,8.72633079086476,1.0
120,11.45188,4.5849676,7.4383836,10.687102,2.2126603,5.122662785682639,1.0
121,12.883736,5.5834961,7.9039655,12.195302,3.4426591,9.760860394053381,1.0
122,12.181007,5.0498562,7.8773971,11.31609,2.5257287,5.709761254547079,1.0
123,11.9579,4.5643482,7.6704288,11.318704,2.2170272,5.183537624148391,1.0
124,12.569571,4.9272537,7.8709297,11.290035,2.8953593,5.345681581071648,1.0
125,12.447737,4.9416423,7.9979992,11.128568,2.8003254,6.708365140654013,1.0
126,11.528759,4.7273879,7.7052627,10.850505,2.2343063,4.920966303925519,1.0
127,12.528171,4.8040209,7.8811822,11.437799,2.7917783,6.655083058825814,1.0
128,12.726312,5.4553213,7.8894591,11.922668,3.3481481,5.940119376596075,1.0
129,12.546914,4.9904327,7.5857887,11.76835,2.7936161,5.728448319746082,1.0
130,13.285525,5.9661469,8.5515947,12.290584,3.638901,9.903272161854632,1.0
131,12.733711,4.7004805,8.0040312,11.558788,2.9036169,6.716666093882957,1.0
132,12.32203,4.7004805,7.7310534,11.583675,2.7562053,4.639275740721559,1.0
133,12.485633,4.9272537,7.9302063,11.206401,2.8326249,7.152715880094755,1.0
134,12.704298,4.934474,7.9824162,11.264609,2.960623,6.0217741754306,1.0
135,12.912272,5.1704841,8.2529669,11.816004,3.3782699,7.279823941572701,1.0
136,12.31116,4.9836068,7.6934814,10.977962,2.4857397,5.44081251603868,1.0
137,12.794209,5.1532917,8.2506199,11.82094,3.1267605,7.984565114522635,1.0
138,12.831016,5.31812,8.3836622,11.979295,3.3530569,5.308033223819991,1.0
139,13.170828,5.8777356,8.1086235,12.177626,3.5536323,7.067341469276542,1.0
140,13.236628,5.9864521,8.170186,12.228848,3.4200191,4.897668015253106,1.0
141,12.340968,5.6240177,8.2174387,11.932696,3.1298261,5.513692108145273,1.0
142,12.841543,5.1761498,8.0833282,11.756142,3.3061538,7.435142523450546,1.0
143,12.991561,5.7170277,8.1356401,11.919121,3.4852321,5.758493720133114,1.0
144,12.830728,5.484797,7.8164172,11.65733,2.9734867,6.010831180981194,1.0
145,13.150105,5.529429,8.3663702,11.989578,3.4372079,6.797263124584861,1.0
146,12.97631,5.5759492,8.3740158,12.070646,3.4268651,6.01184702780219,1.0
147,12.450175,5.209486,8.0870256,11.357214,2.7948394,7.228490016900749,1.0
148,11.980418,4.8202815,8.2340345,11.286036,2.6361961,4.988934746256233,1.0
149,12.985078,5.209486,8.2594585,11.646194,3.1578512,5.608733053464587,1.0
150,12.95846,5.7930136,8.1878557,11.989889,3.2433734,7.278735423168728,1.0
151,12.239019,5.1357985,8.1936769,11.334233,2.6567569,13.25379526689258,1.0
152,12.786573,5.32301,8.420682,11.917507,3.3156395,5.319160259718935,1.0
153,13.264593,5.7930136,8.3099232,12.005404,3.444576,6.21350140569138,1.0
154,12.662064,4.8903489,8.3206911,11.641304,2.9972312,6.131524478864108,1.0
155,13.1178,5.2933049,8.618124,12.102984,3.3575938,6.150562255219524,1.0
156,13.297581,5.2311087,8.3199606,12.247029,3.5019474,5.576625082997678,1.0
157,12.786557,5.220356,8.2198648,11.440585,3.0363944,5.936568719454945,1.0
158,13.189297,5.572154,8.4747028,12.279212,3.4359207,7.173322961261769,1.0
159,12.882552,5.5490761,7.8188324,11.93177,3.0516398,6.535888153367179,1.0
160,12.722478,5.0172796,8.3525543,11.637128,3.1680036,6.106741678840782,1.0
161,12.480964,4.9767337,7.8292327,11.41905,2.9290581,7.30055698333255,1.0
162,12.906726,5.2781148,8.4209023,11.814601,3.2714682,4.895402473223473,1.0
163,12.937125,5.3890719,8.1417723,11.615833,3.0708396,4.647221654445955,1.0
164,12.759365,4.8283138,8.1969881,11.8245,3.034472,7.223410130143535,1.0
165,13.053009,5.3565865,8.5010633,11.829128,3.3607225,6.995498956910778,1.0
166,12.780907,5.1817837,7.9592757,11.34901,2.946542,6.626072545590179,1.0
167,12.727833,5.4380794,8.384119,11.584638,2.9449651,7.225436107229804,1.0
168,12.934934,5.3936276,8.2651358,11.734068,3.0946722,6.493058015619647,1.0
169,12.52875,5.2040067,7.9462638,11.285237,2.869602,6.860870758466217,1.0
170,12.315878,4.9698133,8.2776661,11.215069,2.7905514,5.444098643538656,1.0
171,12.908304,5.3798971,7.7630215,11.778859,3.1267605,6.504369167197762,1.0
172,12.244067,5.0562458,8.0110235,11.09756,2.5641799,5.926197493372357,1.0
173,13.361934,5.4161005,8.3265171,12.209901,3.4588373,6.305773443931171,1.0
174,12.823069,5.3612924,8.1647949,10.972763,3.095125,5.611833650278058,1.0
175,12.459435,5.2149358,8.1545,11.433063,2.926918,6.236362343848982,1.0
176,12.567375,5.5174527,8.2769032,11.399102,2.947067,7.911956410370889,1.0
177,12.931901,5.5254531,8.0583277,11.76064,3.3293433,7.160387400298202,1.0
178,12.781384,5.31812,8.1232615,11.313047,3.0209126,5.753943597404305,1.0
179,12.433954,5.2882671,7.8332038,11.705884,2.8100049,7.180233787407904,1.0
180,12.913964,5.5490761,7.9244342,11.492131,3.3568971,6.944788430897379,1.0
181,12.70088,5.5490761,7.9276853,11.663713,3.1432898,6.410445478992747,1.0
182,12.726301,4.8903489,8.2198648,11.336241,2.8724341,6.142220941649181,1.0
183,12.507051,4.8675346,7.8590269,11.544542,2.9150643,5.523033414473457,1.0
184,12.592378,5.4424176,8.1744213,11.390658,2.8992214,7.635531682204499,1.0
185,12.483408,5.1357985,7.9779682,11.37055,2.87976,7.099499394281922,1.0
186,12.844632,5.1357985,8.0404472,11.647125,3.092859,5.215153660066359,1.0
187,12.77371,5.1357985,8.0459089,11.687552,2.9595869,6.080312107860207,1.0
188,12.384295,5.2882671,8.2895393,11.366487,2.8859174,12.79524321568342,1.0
189,12.654821,4.8121843,8.1593752,11.422198,2.9365129,5.136591242015852,1.0
190,12.425025,5.1474943,8.0310602,11.161464,3.0066721,9.197443352680473,1.0
191,12.5823,4.9272537,8.1356401,11.370032,3.0615201,7.42845687180597,1.0
192,12.962509,5.5134287,7.9512072,11.576994,3.2196755,5.624506645053322,1.0
193,12.587835,5.1532917,8.0758934,11.189196,2.9107189,6.456384113096571,1.0
194,13.157599,5.3327188,7.9550743,12.075771,3.4588373,6.561719600502537,1.0
195,12.914422,5.5947113,8.2540083,12.129179,3.1742969,8.12778501645133,1.0
196,12.613945,5.1929569,7.9956436,11.767978,2.8903718,5.006826115396846,1.0
